	prefix	input_text	target_text
1907	1907	hạt bến bóng đông chiều	1284
1908	1908	sân mùa	484
1909	1909	gió biển hoàng_hôn chiều	2010
1910	1910	mây nắng	755
1911	1911	sông bến quê nắng	109
1912	1912	gió cát mây sông chân nắng	2
1913	1913	cát đời	1732
1914	1914	mái sông bến đò mùa đông mưa miền	901
1915	1915	sông ruộng quê nắng	370
1916	1916	hồng phượng đường	756
1917	1917	vạt đê lối sông	100
1918	1918	xuân đường đò quê	864
1919	1919	biển quê	2174
1920	1920	cánh mái trăng đông lá	2175
1921	1921	quê miền	2199
1922	1922	lúa biển hồn	1458
1923	1923	sương chiều	2219
1924	1924	cau vườn diều chiều lá trầu	2503
1925	1925	lúa thuyền mùa chiều lá nắng	391
1926	1926	hoa mùa xuân	175
1927	1927	đời trưa mắt	1534
1928	1928	vạt mây nắng	755
1929	1929	hoa bến nắng	1645
1930	1930	hoa sắc mùa	1513
1931	1931	hương chiều	1330
1932	1932	hoa bờ	2045
1933	1933	cau cát vườn trầu	2194
1934	1934	mái sân chân tiếng	1971
1935	1935	hương sông tiếng	1403
1936	1936	cánh chim	1615
1937	1937	hồng gió thơ	210
1938	1938	phượng cánh trầu	906
1939	1939	sông chiều phố	975
1940	1940	đường quê_hương màu	240
1941	1941	lối bóng làng	305
1942	1942	trăng mắt	653
1943	1943	núi sông	1605
1944	1944	sông quê_hương trưa mắt	1004
1945	1945	trăng bến chiều vàng	1787
1946	1946	tóc mùa mưa nắng trưa mắt	1891
1947	1947	hoa xuân đời lá	462
1948	1948	núi chân tiếng	1043
1949	1949	đường bóng	1896
1950	1950	hương hoa quê cỏ vương	77
1951	1951	lưng sương đường vai	2140
1952	1952	lúa mắt	1774
1953	1953	hè sông chân quê	688
1954	1954	đời đêm miền	2579
1955	1955	đời biển sóng	2447
1956	1956	cánh lá	1506
1957	1957	bờ đời trăng dòng	413
1958	1958	thềm bờ tiếng	612
1959	1959	dáng làng	1610
1960	1960	tiếng vàng lá gió	276
1961	1961	mái đời trưa mắt	1534
1962	1962	lưng sông làng mưa chiều tre lá	116
1963	1963	hồng hoa	1368
1964	1964	gió sương	876
1965	1965	đời biển hoàng_hôn	1337
1966	1966	lối hoa chân	1455
1967	1967	hương gió xuân	433
1968	1968	đê cõi đời duyên quê làng hồn	196
1969	1969	mây bóng	1362
1970	1970	cánh sóng	1460
1971	1971	chiều đường	1136
1972	1972	hoa gió bến	1409
1973	1973	chân cánh rừng	2403
1974	1974	hương vườn dáng quê cỏ lá	930
1975	1975	phượng hồn	318
1976	1976	cát đời	1732
1977	1977	cò làng tre trưa nắng	200
1978	1978	hương lá hồn	1140
1979	1979	đê hoa chân	863
1980	1980	hương gió xuân	1259
1981	1981	tiếng chân	1941
1982	1982	hoa sông bến	243
1983	1983	vườn bờ thơ	1386
1984	1984	mái thuyền sông bến đò mùa đông mưa miền	901
1985	1985	hương sắc trăng vầng hồn	1008
1986	1986	cau chim bóng tiếng	632
1987	1987	lối trăng bóng	929
1988	1988	thuyền bến đò tiếng	1824
1989	1989	sương lá trầu	1764
1990	1990	biển đông sóng	2420
1991	1991	mái lá mắt	2481
1992	1992	vàng mưa	1061
1993	1993	hoa thuyền xuân chân đò mùa	1756
1994	1994	núi bóng	1107
1995	1995	bến thuyền	898
1996	1996	môi mưa chiều	2017
1997	1997	thuyền sông chân bến thơ	2078
1998	1998	gió xuân đời thơ lá	1515
1999	1999	cau chim bóng chiều	632
2000	2000	sương hoa	1144
2001	2001	cõi mây bến biển	2437
2002	2002	sương đò tiếng	1709
2003	2003	gió hè sông bờ tre tiếng dòng nắng	149
2004	2004	chiều nắng	1690
2005	2005	rừng cánh gió tóc lá	1398
2006	2006	sắc áo hè phượng trưa	713
2007	2007	cát phố dòng nắng	371
2008	2008	đêm mưa nắng	1864
2009	2009	núi mây sương	1825
2010	2010	mái đêm	206
2011	2011	gió quê mưa trưa	1232
2012	2012	bờ tiếng	1191
2013	2013	hương hè	718
2014	2014	chân quê vai	2291
2015	2015	đời thơ	1912
2016	2016	đò quê bến	635
2017	2017	hoa gió cánh chiều	1720
2018	2018	áo bến đường đò	1964
2019	2019	đêm thơ tiếng hồn	2160
2020	2020	bờ đời trăng dòng	217
2021	2021	quê hoa làng	633
2022	2022	sông bến quê	187
2023	2023	sông bờ trầu	1897
2024	2024	gió xuân màu đêm	1267
2025	2025	gió bóng mưa	1190
2026	2026	sắc xuân sương cỏ	2179
2027	2027	duyên quê mưa chiều	10
2028	2028	hồng chiều mắt	644
2029	2029	màu áo bến đường	1964
2030	2030	núi sông	1156
2031	2031	cõi mây bến	2437
2032	2032	vàng lá	1061
2033	2033	cánh chim miền	2491
2034	2034	hương quê trầu	911
2035	2035	lối quê tre mắt	926
2036	2036	trăng bóng	289
2037	2037	hương hoa sương đêm đông	545
2038	2038	hạt mây ruộng làng mưa vàng	2306
2039	2039	sông đêm sóng	589
2040	2040	nắng mùa sóng	1656
2041	2041	đường quê đò đông	864
2042	2042	bóng bờ vàng làng	562
2043	2043	hoa lưng áo sương chiều vương	2333
2044	2044	đường nắng	483
2045	2045	gió đất_trời màu tóc	580
2046	2046	cánh gió lưng mây chiều	924
2047	2047	vườn quê	1627
2048	2048	đường quê_hương	2434
2049	2049	vàng hồn miền nắng	2497
2050	2050	gió đêm	2195
2051	2051	ruộng vai	2370
2052	2052	vạt tóc sóng nắng	1501
2053	2053	hạt nắng	2415
2054	2054	sông đông mắt	1005
2055	2055	cánh hè diều vàng trưa	1519
2056	2056	hồng gió hương đất_trời	1290
2057	2057	trầu duyên	34
2058	2058	môi nắng	2482
2059	2059	gió sương núi mây	894
2060	2060	gió thơ chiều hồn	2470
2061	2061	quê đời	1045
2062	2062	cát đời	1732
2063	2063	môi trầu	1208
2064	2064	cánh đời đường vàng	2582
2065	2065	tiếng nắng	1547
2066	2066	hoa xuân chân lá	1222
2067	2067	đường mùa chiều vàng nắng	2082
2068	2068	cánh hè cò tiếng trưa	1114
2069	2069	hoa xuân	218
2070	2070	đò sông	1876
2071	2071	thơ chùa lá	2131
2072	2072	làng dòng	1282
2073	2073	mái xuân mùa lá trưa	2394
2074	2074	thuyền mây thơ vai nắng	1664
2075	2075	hoa vườn cỏ mùa tiếng	411
2076	2076	hồng xuân phượng sông đời đò	382
2077	2077	đêm môi sóng	1334
2078	2078	biển sóng nắng	1715
2079	2079	gió sông quê mùa tiếng	986
2080	2080	lá chiều	1823
2081	2081	sông đò bóng chiều dòng	405
2082	2082	áo sông mưa	1326
2083	2083	hoàng_hôn bờ phố	1573
2084	2084	trăng bóng chiều vàng	1787
2085	2085	vàng gió	1006
2086	2086	gió bóng	1190
2087	2087	ruộng chân	683
2088	2088	gió chiều	1231
2089	2089	tóc phố	2053
2090	2090	cỏ sông bờ chiều	2172
2091	2091	hương sông cõi	2068
2092	2092	thuyền sóng	120
2093	2093	hoa xuân đời lá	462
2094	2094	cánh sông cò mưa nắng	624
2095	2095	cánh chim thơ	2575
2096	2096	phố hồn	2065
2097	2097	hoa xuân sông trăng bóng	1742
2098	2098	mây trăng	552
2099	2099	lá bến thuyền	471
2100	2100	cánh sông cò mùa vàng nắng	1317
2101	2101	mây núi	2450
2102	2102	thơ quê làng	150
2103	2103	sương chiều	1340
2104	2104	hồn thơ	1847
2105	2105	sông bến sóng	1679
2106	2106	sương chân đường làng phố	506
2107	2107	biển thơ sóng	372
2108	2108	lối mây chân đường nắng	457
2109	2109	quê hồn	2456
2110	2110	hoàng_hôn hồn mắt	1917
2111	2111	sông bờ làng dòng	188
2112	2112	cát bờ biển	1905
2113	2113	cau bờ đông	851
2114	2114	bờ tiếng	1552
2115	2115	hoa núi sông môi	1470
2116	2116	mùa nắng	751
2117	2117	cau dáng tre	1626
2118	2118	cánh lối trăng đêm đường	2006
2119	2119	đêm đường	1472
2120	2120	rừng gió cánh lưng	1493
2121	2121	núi gió đêm	1141
2122	2122	núi mây sương	1825
2123	2123	lối núi mây bóng	1548
2124	2124	sương đất_trời dòng nắng	544
2125	2125	quê làng tre	1354
2126	2126	lưng cánh gió mây chiều	924
2127	2127	hoa gió mây nắng	2210
2128	2128	hồng núi	2137
2129	2129	đò quê bến	635
2130	2130	làng chiều mắt	1056
2131	2131	hoa gió màu tóc đất_trời	580
2132	2132	hè nắng	661
2133	2133	gió mùa đông	1068
2134	2134	gió mây trăng bóng	2297
2135	2135	sông bến sóng	1865
2136	2136	xuân thơ nắng mắt	2098
2137	2137	hè chùa quê mùa làng phố	223
2138	2138	hồng thuyền đời	1109
2139	2139	gió cõi vườn chim chiều	2586
2140	2140	chim quê diều hồn	353
2141	2141	đất_trời thơ	855
2142	2142	gió bờ tiếng	612
2143	2143	hoa xuân mùa tiếng trưa	795
2144	2144	đường bóng làng tiếng	38
2145	2145	gió cánh	652
2146	2146	lúa gió sông diều sóng	1392
2147	2147	chiều núi sương biển mùa sóng	2547
2148	2148	cát miền	281
2149	2149	hương xuân	815
2150	2150	mây bóng	1362
2151	2151	bờ sông chiều	975
2152	2152	gió sương làng chiều nắng	575
2153	2153	núi đêm	1141
2154	2154	bóng sương	1960
2155	2155	áo chiều tiếng	2218
2156	2156	chân bến	224
2157	2157	gió bờ đông	851
2158	2158	cau trầu	2581
2159	2159	rừng gió chiều tiếng	1789
2160	2160	lúa hương xuân ruộng quê	1157
2161	2161	lúa hạt ruộng chân đời	636
2162	2162	áo sương tiếng	1375
2163	2163	sông bến đò	1467
2164	2164	gió chân quê mùa tiếng	986
2165	2165	bờ quê tre tiếng trưa	1167
2166	2166	hoa gió cỏ hồn	985
2167	2167	hoa mây chiều cỏ	2003
2168	2168	hoa lưng cau áo cò tiếng	1753
2169	2169	vạt hè mưa tiếng	1086
2170	2170	đê bờ diều sóng tiếng	1990
2171	2171	biển quê	2174
2172	2172	hoa cánh màu nắng	2440
2173	2173	mưa sương	647
2174	2174	cánh sông bến	219
2175	2175	đường nắng	483
2176	2176	sương đường mùa tiếng vai	2242
2177	2177	quê miền	2199
2178	2178	sương lá trầu	1764
2179	2179	sắc mây trăng mưa	435
2180	2180	sông bờ dòng	62
2181	2181	sông dòng bến	1149
2182	2182	trăng đêm quê làng vàng	249
2183	2183	hương mùa	2474
2184	2184	hồng gió thơ	210
2185	2185	hoa xuân cỏ hồn	273
2186	2186	màu mắt	1575
2187	2187	trăng đêm	1160
2188	2188	thuyền xuân bến trăng đò bóng sóng	2431
2189	2189	lá mắt	2265
2190	2190	mưa tiếng	1382
2191	2191	hoa gió sông cỏ lá	1443
2192	2192	trăng nắng sóng mắt	1578
2193	2193	sông đò nắng	2088
2194	2194	sương núi biển mùa đông sóng	2547
2195	2195	xuân chiều	844
2196	2196	lưng sương đường vai	2140
2197	2197	bến bóng trưa nắng	412
2198	2198	dáng tiếng	2086
2199	2199	cát trăng	1544
2200	2200	đông sóng	202
2201	2201	mây bờ duyên môi	5
2202	2202	duyên đò vàng lá	52
2203	2203	lúa hương cánh đường quê hoàng_hôn bóng chiều	264
2204	2204	thuyền sông bến duyên thơ trăng quê	579
2205	2205	trăng tre vầng lá	1528
2206	2206	sông bến đò lá cỏ	420
2207	2207	hoàng_hôn sông cò	1837
2208	2208	trăng quê	2499
2209	2209	đường dòng	366
2210	2210	sông bờ bến chân quê hồn	408
2211	2211	xuân đời thơ lá	1515
2212	2212	vàng lá	654
2213	2213	vạt gió mây trăng	1833
2214	2214	hoa xuân vườn vầng	1940
2215	2215	lúa hương	800
2216	2216	quê đời làng hồn	389
2217	2217	phố đêm	690
2218	2218	đê mái sông tre	994
2219	2219	đêm trăng	1280
2220	2220	chân làng	1907
2221	2221	cõi thuyền sông lá	2588
2222	2222	rừng cõi núi	908
2223	2223	môi chiều	2017
2224	2224	gió tóc chiều lá nắng	2073
2225	2225	vạt áo hè vườn đông chiều vai nắng	956
2226	2226	cánh gió phượng lá hồn	2459
2227	2227	sương nắng lá	2274
2228	2228	cánh màu diều chiều tiếng miền	21
2229	2229	cát bờ biển sóng tiếng	2036
2230	2230	gió biển hoàng_hôn	2010
2231	2231	cát bờ biển	954
2232	2232	sông bến chiều	1591
2233	2233	đêm biển	526
2234	2234	sương cò	1087
2235	2235	hồn gió thơ mùa tiếng mắt	554
2236	2236	cát biển chiều vương	1029
2237	2237	đêm mưa lá	108
2238	2238	hương đê đò làng phố	2058
2239	2239	đê gió bờ chân chiều cỏ	1324
2240	2240	thuyền sông nắng sóng	759
2241	2241	thềm cánh vườn đêm trăng vầng	577
2242	2242	vàng hạt	1030
2243	2243	cõi đêm trăng đường	572
2244	2244	mây hoàng_hôn mưa	673
2245	2245	đêm trăng	708
2246	2246	thuyền sông bến duyên trăng thơ quê	579
2247	2247	sông mắt	232
2248	2248	diều làng	151
2249	2249	lúa cánh hoàng_hôn bóng quê đường chiều	264
2250	2250	hương tiếng phố	23
2251	2251	áo bến chiều	369
2252	2252	đêm nắng	42
2253	2253	vườn sông bến dòng	2037
2254	2254	sương cỏ	2260
2255	2255	gió cánh chiều	2439
2256	2256	chùa gió	651
2257	2257	cát bờ biển chiều sóng	2238
2258	2258	hương lối phượng mùa	2257
2259	2259	sương trăng đêm	1471
2260	2260	gió sương dòng nắng	1256
2261	2261	lối sương	1502
2262	2262	trăng quê vàng	2499
2263	2263	gió vầng lá	172
2264	2264	vầng trăng	1913
2265	2265	cò dòng	130
2266	2266	hoa xuân	1076
2267	2267	hoa cánh tiếng	791
2268	2268	hoa trăng vàng	1128
2269	2269	gió mây bóng mùa dòng	1494
2270	2270	sắc nắng xuân	2109
2271	2271	cánh chim	2329
2272	2272	bóng đất_trời phố	2138
2273	2273	cõi vàng miền	2354
2274	2274	gió xuân	1259
2275	2275	đêm mưa	627
2276	2276	hương mắt	711
2277	2277	lưng sương đường	2056
2278	2278	gió mùa chiều tiếng lá	1038
2279	2279	hoa lá	2427
2280	2280	đời trăng	2458
2281	2281	lưng lối hè áo nắng	2363
2282	2282	quê miền	363
2283	2283	cau trầu	2581
2284	2284	cánh quê diều quê_hương	1241
2285	2285	gió sông chim biển	477
2286	2286	chân đêm vương	1221
2287	2287	bóng đêm	1723
2288	2288	sân trăng	2523
2289	2289	hương phố	23
2290	2290	đê bờ quê diều tiếng	1990
2291	2291	sương hoa	1620
2292	2292	mây sóng	698
2293	2293	hoa nắng	505
2294	2294	gió trăng	1057
2295	2295	sông chim biển	477
2296	2296	bóng xuân nắng	2545
2297	2297	vai đời	1557
2298	2298	hoa chim	1063
2299	2299	gió cánh chim nắng	607
2300	2300	hồng gió thơ	532
2301	2301	đời cõi	280
2302	2302	cánh diều lá	1885
2303	2303	cánh gió cò mưa dòng nắng	192
2304	2304	hương sắc sông đêm	2578
2305	2305	cõi mây trăng bóng	2297
2306	2306	cát bờ biển	1905
2307	2307	lúa tiếng	1831
2308	2308	trăng cánh gió	652
2309	2309	màu quê vàng	1419
2310	2310	trăng cò tre vầng lá	1528
2311	2311	hồn sắc trăng vầng miền	1008
2312	2312	hoa mùa hồn	1918
2313	2313	hoa sắc dáng	1641
2314	2314	thềm cánh vườn trăng đêm vầng	577
2315	2315	lúa hoa mây diều sóng	604
2316	2316	hồn cõi chiều	2496
2317	2317	lúa thuyền bến biển diều	1151
2318	2318	biển đông sóng đất_trời	2453
2319	2319	hoa màu sương quê dòng nắng	2526
2320	2320	sân chùa mùa	185
2321	2321	đê mùa vàng	44
2322	2322	chân quê vai	2291
2323	2323	cánh dòng	2382
2324	2324	cau vầng trầu	1434
2325	2325	hoa xuân mùa	2016
2326	2326	lúa hương gió sương sông dòng	1540
2327	2327	tóc làng	1610
2328	2328	bóng chiều	1079
2329	2329	đời quê	1045
2330	2330	thềm đời biển	214
2331	2331	đường quê nắng	702
2332	2332	hương đường quê	71
2333	2333	hương hoa cau tóc mùa	1438
2334	2334	sương cỏ	854
2335	2335	thuyền sông bến bóng	19
2336	2336	lúa vàng	1212
2337	2337	đê cánh hoàng_hôn chiều tiếng	1359
2338	2338	hoa xuân chim	209
2339	2339	cau sân quê mưa vàng trưa	991
2340	2340	chim nắng	1590
2341	2341	sông bến đò	1467
2342	2342	cát sông biển mưa hồn	1244
2343	2343	quê miền	704
2344	2344	hoa xuân	237
2345	2345	vàng mùa nắng	2512
2346	2346	duyên xuân mắt	2120
2347	2347	mái đông nắng	2022
2348	2348	hoa tre	2192
2349	2349	mây chim tiếng lá mắt	1325
2350	2350	thuyền sóng	120
2351	2351	cánh núi cò chiều	1700
2352	2352	thơ quê đất_trời	1230
2353	2353	gió mây sông bóng mùa	1494
2354	2354	sắc ruộng nắng	1972
2355	2355	đời đường vai	1942
2356	2356	núi bóng	1107
2357	2357	núi mây	1338
2358	2358	môi nắng	418
2359	2359	hoa chim vàng	524
2360	2360	đò chiều	94
2361	2361	vàng mắt	711
2362	2362	cánh phượng áo	2001
2363	2363	cánh thuyền xuân	452
2364	2364	gió cánh sương	1509
2365	2365	thuyền dáng biển hoàng_hôn bóng nắng	266
2366	2366	sông bờ đêm trăng mùa vầng lá	1870
2367	2367	áo sương tiếng	1375
2368	2368	màu đời mắt	1575
2369	2369	thơ chùa làng lá	2131
2370	2370	hồng thơ	210
2371	2371	thuyền sông chân trăng	1867
2372	2372	sương hoa	1144
2373	2373	đêm thơ tiếng	2160
2374	2374	sông đời bến thơ dòng	1772
2375	2375	sông bến quê nắng	109
2376	2376	gió vầng lá	172
2377	2377	đêm chùa tiếng	1646
2378	2378	bóng núi đời sóng	1928
2379	2379	bờ tre	1422
2380	2380	vạt áo chân hoàng_hôn chiều hồn	664
2381	2381	thuyền sương đường	1051
2382	2382	lúa mây	742
2383	2383	mùa mưa trưa nắng mắt	1891
2384	2384	vạt sắc trưa nắng	1721
2385	2385	hoa sắc	1001
2386	2386	lúa hương gió sông cò quê mùa dòng	1895
2387	2387	cánh màu đêm trăng	977
2388	2388	cau tóc dáng tre	1626
2389	2389	gió sông chân quê mùa tiếng	986
2390	2390	lúa hương bờ chim nắng	1439
2391	2391	hoa sương chân thơ	925
2392	2392	cánh gió lá hồn	2459
2393	2393	đò tiếng dòng	1049
2394	2394	sông tiếng vương dòng	1412
2395	2395	rừng núi cánh chân	2403
2396	2396	áo cò mùa	1859
2397	2397	xuân núi sông mùa	853
2398	2398	núi biển	1550
2399	2399	đường lá	1945
2400	2400	vạt hoa gió áo mưa	403
2401	2401	sông chiều lá mắt	1331
2402	2402	đê bờ trăng	1193
2403	2403	mùa chiều vai mắt	2122
2404	2404	gió sương cò	2158
2405	2405	bờ trăng vai	1943
2406	2406	xuân chim mùa vàng lá	1681
2407	2407	đường bóng chiều lá	1828
2408	2408	hoàng_hôn nắng	1648
2409	2409	sông đời bến mùa đông	1070
2410	2410	hoa quê_hương xuân	1595
2411	2411	đêm mưa tiếng lá	596
2412	2412	đò sông	25
2413	2413	thềm tóc trăng chiều cỏ	20
2414	2414	cánh hè nắng	134
2415	2415	hoa gió chiều sương sông nắng	802
2416	2416	gió sương đường dòng nắng	1256
2417	2417	hoa đêm vàng	326
2418	2418	trăng vàng	1533
2419	2419	hương rừng đường chiều nắng	325
2420	2420	quê mây sông	2516
2421	2421	duyên mưa	1562
2422	2422	vạt gió sắc diều trưa nắng	1588
2423	2423	sông bến	243
2424	2424	xuân chân bóng chiều	1635
2425	2425	vàng sương lối	2114
2426	2426	hè duyên chiều	829
2427	2427	sông dòng duyên	2555
2428	2428	vàng sông dòng trăng	848
2429	2429	cánh gió mưa	163
2430	2430	đông chiều tiếng	1714
2431	2431	hương xuân núi miền	2096
2432	2432	hạt gió	2415
2433	2433	lá trầu mắt	2265
2434	2434	gió xuân tiếng mắt	341
2435	2435	núi sông đời biển	1950
2436	2436	sông đêm đường mưa	808
2437	2437	lúa lối làng	745
2438	2438	đông sóng	2420
2439	2439	vạt cánh lối đêm vàng nắng	1457
2440	2440	hương xuân ruộng quê	1157
2441	2441	thuyền xuân trăng bến đò bóng chiều sóng	2431
2442	2442	hương gió mắt	2504
2443	2443	hoa chân quê làng	1631
2444	2444	đêm biển sóng	754
2445	2445	đường quê	2085
2446	2446	tiếng đêm	1767
2447	2447	hè sân chân tre vàng trưa nắng	738
2448	2448	gió sương nắng	2011
2449	2449	gió sông làng chiều	1028
2450	2450	bóng mưa chiều	104
2451	2451	sông dòng	879
2452	2452	vạt quê sắc nắng	1721
2453	2453	hoa gió đêm trăng	866
2454	2454	cánh xuân	2125
2455	2455	gió hè đêm	387
2456	2456	màu sông mắt	1233
2457	2457	cánh biển mưa nắng	2361
2458	2458	sắc gió sương cỏ	2179
2459	2459	hương sân chùa quê làng chiều	1477
2460	2460	bờ sông trăng bến thơ vầng	402
2461	2461	duyên mắt	1350
2462	2462	quê miền	952
2463	2463	chiều áo tiếng	2218
2464	2464	hoa xuân bóng nắng	2506
2465	2465	đường bóng	1896
2466	2466	gió núi nắng	2287
2467	2467	tiếng chim trăng	1904
2468	2468	hoa gió mây diều nắng	1531
2469	2469	sông màu	1344
2470	2470	xuân vàng	453
2471	2471	sắc gió xuân cỏ	2179
2472	2472	hương màu sông	1344
2473	2473	bờ sông chiều phố	975
2474	2474	hương sắc	2232
2475	2475	hương cau vườn mưa	203
2476	2476	vầng vườn trăng	2381
2477	2477	lúa chùa vàng	234
2478	2478	gió nắng chiều	176
2479	2479	vạt mùa cỏ miền	2336
2480	2480	sân trăng	2523
2481	2481	hương hè mưa nắng	1361
2482	2482	mây sóng	1429
2483	2483	vạt gió chiều	2408
2484	2484	vạt sắc gió diều trưa nắng	1588
2485	2485	lúa sắc cánh cõi vàng	685
2486	2486	cõi bờ quê sóng	1970
2487	2487	áo dáng vai	2564
2488	2488	đê bóng quê làng chiều	1186
2489	2489	lúa cò nắng	208
2490	2490	lá mùa	55
2491	2491	xuân tiếng	493
2492	2492	xuân bóng mùa	1173
2493	2493	sông trăng vầng	2135
2494	2494	xuân sương hoàng_hôn bóng chiều nắng	2585
2495	2495	sông cánh	769
2496	2496	lối biển chiều nắng	1504
2497	2497	đời sân	2136
2498	2498	lúa hương hạt trăng quê nắng	269
2499	2499	thuyền làng	835
2500	2500	lối hoa	1455
2501	2501	sông chiều	2013
2502	2502	chiều đê màu	1445
2503	2503	gió cánh	697
2504	2504	thuyền áo sông duyên quê	537
2505	2505	gió sương đường nắng	1256
2506	2506	hoa lối	2493
2507	2507	bờ tre tiếng	1191
2508	2508	hoa gió màu đất_trời	580
2509	2509	hương sương đêm đông	545
2510	2510	cánh sóng	1460
2511	2511	cỏ bóng	904
2512	2512	chân ruộng dòng	410
2513	2513	bờ trăng vai	1943
2514	2514	đê bờ chân hoàng_hôn quê bóng	1349
2515	2515	đường mùa phố trưa nắng	2398
2516	2516	hương hoa cau	978
2517	2517	phượng mùa	751
2518	2518	đê vườn hồn	989
2519	2519	hương xuân mái quê	2104
2520	2520	gió chùa hoàng_hôn làng lá nắng	717
2521	2521	đêm vàng	464
2522	2522	chim đêm đường tiếng nắng	1708
2523	2523	mái sông ruộng dòng	782
2524	2524	đường lưng mùa	1937
2525	2525	gió xuân đêm	2195
2526	2526	vạt rừng hoa sương hè chiều miền	1875
2527	2527	quê_hương đời	2203
2528	2528	núi sông	1785
2529	2529	gió cát bờ sóng	2422
2530	2530	hương rừng núi đường	1973
2531	2531	cánh thuyền xuân bến	452
2532	2532	phượng sân chân tiếng lá	729
2533	2533	rừng hoa sắc gió tiếng lá	1673
2534	2534	đê gió chân	2288
2535	2535	rừng bóng lá vàng	1483
2536	2536	cánh biển mưa nắng	2361
2537	2537	vàng lá xuân	2128
2538	2538	đê vàng	44
2539	2539	núi mây mắt	2475
2540	2540	gió sóng	698
2541	2541	vườn quê làng	1627
2542	2542	lúa dòng	1064
2543	2543	trăng sóng	1947
2544	2544	mái sông ruộng dòng	782
2545	2545	vai nắng	792
2546	2546	hương cau hè mưa nắng	1503
2547	2547	hoa xuân vườn chim môi mắt	1677
2548	2548	núi mây sương đất_trời nắng	976
2549	2549	sông vương dòng	1412
2550	2550	hoa sắc dáng	1641
2551	2551	hương gió núi	1498
2552	2552	gió mây trưa	1347
2553	2553	thềm sắc xuân chim	868
2554	2554	xuân sông biển duyên đò	1749
2555	2555	thơ diều làng	150
2556	2556	đông chiều nắng	2022
2557	2557	gió núi duyên dòng	1959
2558	2558	hương sông thơ tiếng	1403
2559	2559	cau vườn diều mùa lá trầu	2503
2560	2560	hương cát lối sông	999
2561	2561	lúa quê_hương	731
2562	2562	mây sông dòng vàng nắng	613
2563	2563	hoa màu	1757
2564	2564	quê bóng chiều	521
2565	2565	biển chiều	47
2566	2566	thuyền mùa chiều lá nắng	391
2567	2567	cát thuyền biển	139
2568	2568	đời đò vàng lá	52
2569	2569	vườn cau làng	2318
2570	2570	hoa sông	123
2571	2571	chiều mưa	407
2572	2572	hồng hoa cỏ miền	1204
2573	2573	xuân chiều	2091
2574	2574	trăng vàng	1533
2575	2575	cánh chim	2575
2576	2576	quê tiếng hồn	1922
2577	2577	cò mùa	377
2578	2578	thuyền mây thơ vai nắng	1664
2579	2579	hương sương	1962
2580	2580	dòng đêm	456
2581	2581	hạt màu	2212
2582	2582	hương hoa mái cau vàng	1393
2583	2583	gió xuân sương cỏ	2179
2584	2584	bờ trăng duyên môi	5
2585	2585	bờ tre tiếng	1552
2586	2586	vườn hoa	824
2587	2587	hoa chùa chiều	2278
2588	2588	đất_trời đêm trăng	2169
2589	2589	xuân mùa môi	838
2590	2590	sông đêm sóng miền	589
2591	2591	bờ sông trăng đêm mùa lá	1870
2592	2592	hương hoa gió đêm mưa	1988
2593	2593	lúa hạt trăng quê nắng mắt	594
2594	2594	bóng vườn thơ	2283
2595	2595	dáng bờ vai	2417
2596	2596	xuân sông duyên biển	1749
2597	2597	sông làng duyên sóng	847
2598	2598	hoa đường làng nắng	1926
2599	2599	lưng trăng tiếng lá hồn	671
2600	2600	hoa màu mây cỏ	2003
2601	2601	bóng núi đời trăng	1928
2602	2602	xuân mùa lá trưa	2394
2603	2603	bóng mùa chiều mắt	2122
2604	2604	cõi vàng miền	2354
2605	2605	hoa gió cánh diều chiều	1720
2606	2606	sắc sông mưa	1428
2607	2607	biển đất_trời	1488
2608	2608	hương tiếng phố	23
2609	2609	hương hoa tóc lối mùa	1118
2610	2610	lối núi mây	295
2611	2611	sông sóng	1865
2612	2612	nắng chiều	424
2613	2613	núi quê_hương	1413
2614	2614	gió phượng mùa mưa	88
2615	2615	hồng hoa sông trăng quê_hương dòng	2462
2616	2616	núi biển vầng	2317
2617	2617	trăng đêm vầng	482
2618	2618	lúa sóng	229
2619	2619	hương gió sắc quê	1492
2620	2620	trăng bóng	929
2621	2621	gió mây đông nắng	1352
2622	2622	đời biển	1337
2623	2623	rừng cõi núi	908
2624	2624	hương hoa quê	1702
2625	2625	đông sóng	147
2626	2626	sông bến đò	867
2627	2627	gió sương mây	894
2628	2628	thềm hoa xuân đường	1667
2629	2629	chân hoàng_hôn	1511
2630	2630	mái trăng vầng quê_hương hồn	679
2631	2631	xuân bóng mùa vàng phố mắt	2077
2632	2632	hương sắc trăng vầng hồn	622
2633	2633	mưa lá nắng	643
2634	2634	hè bờ chân sân vàng trưa nắng	738
2635	2635	thuyền sông bến bóng	19
2636	2636	mây trăng duyên môi	5
2637	2637	cánh phượng sông quê	82
2638	2638	cau chim chiều tiếng	632
2639	2639	hoàng_hôn hồn	1917
2640	2640	quê làng	2040
2641	2641	cánh chim quê nắng	327
2642	2642	đê áo bờ mưa cỏ	1437
2643	2643	sóng tiếng	2532
2644	2644	vạt áo mây	2225
2645	2645	gió cõi mây trăng	2297
2646	2646	hoa mắt	1277
2647	2647	cau tóc sương vườn quê_hương	1556
2648	2648	thềm hương hồng hoa mây mùa môi nắng	1634
2649	2649	hoa núi sông	1470
2650	2650	hương sắc sương miền	874
2651	2651	sông mái	159
2652	2652	xuân thơ lá	1239
